primary_row_no,source_key,title,canonical_url,source_contract_count,all_contract_urls,proposed_cadence_class,proposed_source_publication_cadence,proposed_etl_refresh_interval,proposed_active_window_ist,proposed_holiday_or_closed_rule,proposed_empty_data_rule,proposed_fetch_group,current_live_panel_code_interval,evidence_status,official_evidence_url,reviewer_correction,reviewer_notes
60,nse_regulation_31,NSE Regulation 31 Promoter Pledge Disclosures,https://www.nseindia.com/api/corporate-shareholding-disclosure?type=reg31,3,https://www.nseindia.com/api/corporate-shareholding-disclosure?type=reg31 | https://www.nseindia.com/companies-listing/corporate-filings-regulation-31 | https://www.nseindia.com/companies-listing/corporate-filings-regulation-31-event,EVENT_DRIVEN_SLOW,Published on filing/list update events rather than every market tick,30 minutes,08:00-23:30 IST daily,Use 2-hour polling on weekends/holidays unless an active offer/issue requires the normal interval,Valid-empty is allowed only with correct response schema/date; never convert empty into fresh evidence,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
61,nse_corporate_filings_actions,NSE Corporate Actions & Events,https://www.nseindia.com/api/corporates-corporateActions?index=equities,2,https://www.nseindia.com/api/corporates-corporateActions?index=equities | https://www.nseindia.com/companies-listing/corporate-filings-actions,EVENT_DRIVEN_SLOW,Published on filing/list update events rather than every market tick,30 minutes,08:00-23:30 IST daily,Use 2-hour polling on weekends/holidays unless an active offer/issue requires the normal interval,Valid-empty is allowed only with correct response schema/date; never convert empty into fresh evidence,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
62,nse_daily_buyback,NSE Daily Buyback Disclosures,https://www.nseindia.com/api/corporates-daily-buyback,2,https://www.nseindia.com/api/corporates-daily-buyback | https://www.nseindia.com/companies-listing/corporate-filings-daily-buy-back,EVENT_DRIVEN_SLOW,Published on filing/list update events rather than every market tick,30 minutes,08:00-23:30 IST daily,Use 2-hour polling on weekends/holidays unless an active offer/issue requires the normal interval,Valid-empty is allowed only with correct response schema/date; never convert empty into fresh evidence,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
63,nse_financial_results,NSE Quarterly Financial Results,https://www.nseindia.com/api/corporates-financial-results?from_date=%7Bfrom_date%7D&index=equities&period=Quarterly&to_date=%7Bto_date%7D,1,https://www.nseindia.com/api/corporates-financial-results?from_date=%7Bfrom_date%7D&index=equities&period=Quarterly&to_date=%7Bto_date%7D,EVENT_DRIVEN,Published when a company files; can arrive during or after market hours,10 minutes,08:00-23:30 IST daily,Continue on weekends/holidays at reduced cadence because corporate filings can still appear,No new filings is valid only when schema/date filters are valid; do not erase prior populated history,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
64,nse_pit_symbol,NSE PIT Insider Trading (Symbol Query),https://www.nseindia.com/api/corporates-pit?index=equities&symbol=%7Bsymbol%7D,2,https://www.nseindia.com/api/corporates-pit?index=equities&symbol=%7Bsymbol%7D | https://www.nseindia.com/companies-listing/corporate-filings-pit,EVENT_DRIVEN,Published when a company files; can arrive during or after market hours,10 minutes,08:00-23:30 IST daily,Continue on weekends/holidays at reduced cadence because corporate filings can still appear,No new filings is valid only when schema/date filters are valid; do not erase prior populated history,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,https://www.nseindia.com/api/corporates-pit,Per-symbol route returns 20 populated recent disclosures while the market-wide route is valid-empty; bounded symbol fan-out is required,Official current per-symbol PIT route; zero-score informational and explicit buy/sell direction
65,nse_sector_constituents,NSE Sector Index Constituents,https://www.nseindia.com/api/equity-stock-indices?index=%7Bsector_index%7D,1,https://www.nseindia.com/api/equity-stock-indices?index=%7Bsector_index%7D,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
66,nse_fii_dii,NSE FII / DII Institutional Cash Flows,https://www.nseindia.com/api/fiidiiTradeReact,2,https://www.nseindia.com/api/fiidiiTradeReact | https://www.nseindia.com/reports/fii-dii,DAILY_EOD,One official dataset per exchange trading day after market close,15 minutes during release window; stop after same-day file is captured,15:45-20:00 IST on NSE trading days,On holidays/weekends expect the last trading-day file and do not relabel it as today's data,Missing/empty before the release cutoff is WAIT; after cutoff it is MISSING/PARTIAL and must not overwrite last good data,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
67,nse_trading_calendar,NSE Trading Holiday Calendar,https://www.nseindia.com/api/holiday-master?type=trading,2,https://www.nseindia.com/api/holiday-master?type=trading | https://www.nseindia.com/resources/exchange-communication-holidays,DAILY_OR_CHANGE_DETECT,Daily or irregular reference update; exact publisher cadence must be verified per row,Daily; use conditional hash and one retry window,05:30-07:00 IST daily check,Run change-detection even on holidays where the publisher can revise reference data; do not claim a new trading day,Empty is not a successful refresh unless the publisher explicitly defines a valid-empty response,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
68,nse_most_active_value,NSE Most Active Securities by Value,https://www.nseindia.com/api/live-analysis-most-active-securities?index=value,1,https://www.nseindia.com/api/live-analysis-most-active-securities?index=value,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",NSE_MOST_ACTIVE_SESSION_POOL,120 seconds while eligible OPEN/PRE_OPEN session,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
69,nse_most_active_volume,NSE Most Active Securities by Volume,https://www.nseindia.com/api/live-analysis-most-active-securities?index=volume,1,https://www.nseindia.com/api/live-analysis-most-active-securities?index=volume,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",NSE_MOST_ACTIVE_SESSION_POOL,120 seconds while eligible OPEN/PRE_OPEN session,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
70,nse_most_active_underlying,NSE Most Active F&O Underlyings,https://www.nseindia.com/api/live-analysis-most-active-underlying,1,https://www.nseindia.com/api/live-analysis-most-active-underlying,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",INDEPENDENT_SOURCE_JOB,120 seconds while eligible OPEN/PRE_OPEN session,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
71,nse_oi_spurts_contracts,NSE OI Spurts Contract-wise,https://www.nseindia.com/api/live-analysis-oi-spurts-contracts,2,https://www.nseindia.com/api/live-analysis-oi-spurts-contracts | https://www.nseindia.com/market-data/oi-spurts,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
72,nse_oi_spurts,NSE OI Spurts Underlying-wise,https://www.nseindia.com/api/live-analysis-oi-spurts-underlyings,1,https://www.nseindia.com/api/live-analysis-oi-spurts-underlyings,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",INDEPENDENT_SOURCE_JOB,120 seconds while eligible OPEN/PRE_OPEN session,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
73,nse_variations_gainers,NSE Market Variations (Top Gainers),https://www.nseindia.com/api/live-analysis-variations?index=gainers,1,https://www.nseindia.com/api/live-analysis-variations?index=gainers,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",NSE_VARIATIONS_SESSION_POOL,120 seconds while eligible OPEN/PRE_OPEN session,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
74,nse_variations_loosers,NSE Market Variations (Top Losers),https://www.nseindia.com/api/live-analysis-variations?index=loosers,1,https://www.nseindia.com/api/live-analysis-variations?index=loosers,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",NSE_VARIATIONS_SESSION_POOL,120 seconds while eligible OPEN/PRE_OPEN session,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
75,nse_volume_gainers,NSE Live Volume Gainers,https://www.nseindia.com/api/live-analysis-volume-gainers,1,https://www.nseindia.com/api/live-analysis-volume-gainers,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",INDEPENDENT_SOURCE_JOB,120 seconds while eligible OPEN/PRE_OPEN session,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
76,nse_live_equity_derivatives_banknifty_fut,NSE BankNifty Index Futures Live,https://www.nseindia.com/api/liveEquity-derivatives?index=nifty_bank_fut,1,https://www.nseindia.com/api/liveEquity-derivatives?index=nifty_bank_fut,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",NSE_DERIVATIVES_SESSION_POOL,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
77,nse_live_equity_derivatives_banknifty_opt,NSE BankNifty Index Options Live,https://www.nseindia.com/api/liveEquity-derivatives?index=nifty_bank_opt,1,https://www.nseindia.com/api/liveEquity-derivatives?index=nifty_bank_opt,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",NSE_DERIVATIVES_SESSION_POOL,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
78,nse_live_equity_derivatives_index_fut,NSE Nifty50 Index Futures Live,https://www.nseindia.com/api/liveEquity-derivatives?index=nse50_fut,1,https://www.nseindia.com/api/liveEquity-derivatives?index=nse50_fut,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",NSE_DERIVATIVES_SESSION_POOL,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
79,nse_live_equity_derivatives_index_opt,NSE Nifty50 Index Options Live,https://www.nseindia.com/api/liveEquity-derivatives?index=nse50_opt,1,https://www.nseindia.com/api/liveEquity-derivatives?index=nse50_opt,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",NSE_DERIVATIVES_SESSION_POOL,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
80,nse_live_equity_derivatives_stock_fut,NSE Stock Futures Live Feed,https://www.nseindia.com/api/liveEquity-derivatives?index=stock_fut,1,https://www.nseindia.com/api/liveEquity-derivatives?index=stock_fut,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",NSE_DERIVATIVES_SESSION_POOL,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
81,nse_live_equity_derivatives_stock_opt,NSE Stock Options Live Feed,https://www.nseindia.com/api/liveEquity-derivatives?index=stock_opt,1,https://www.nseindia.com/api/liveEquity-derivatives?index=stock_opt,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",NSE_DERIVATIVES_SESSION_POOL,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
82,nse_preopen_fo,NSE Pre-Open Market Data (F&O),https://www.nseindia.com/api/market-data-pre-open?key=FO,1,https://www.nseindia.com/api/market-data-pre-open?key=FO,SESSION_WINDOW,Pre-open session only; exact F&O window needs official verification,60 seconds,08:55-09:16 IST on NSE trading days; verify official start/end,"Do not poll after the pre-open window; retain as session context, never ordinary LIVE evidence",Empty before official start can be valid; empty during the verified active window is PARTIAL after retries,INDEPENDENT_SOURCE_JOB,120 seconds while eligible OPEN/PRE_OPEN session,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
83,nse_market_turnover,NSE Segment Market Turnover,https://www.nseindia.com/api/market-turnover,1,https://www.nseindia.com/api/market-turnover,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
84,nse_option_chain_equity,NSE Stock Option Chain Matrix,https://www.nseindia.com/api/option-chain-equities?symbol=%7Bsymbol%7D,1,https://www.nseindia.com/api/option-chain-equities?symbol=%7Bsymbol%7D,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
85,nse_asm,NSE Long-Term Additional Surveillance Measure (ASM),https://www.nseindia.com/api/reportASM,2,https://www.nseindia.com/api/reportASM | https://www.nseindia.com/regulations/additional-surveillance-measure,DAILY_OR_CHANGE_DETECT,Daily or irregular reference update; exact publisher cadence must be verified per row,Daily; use conditional hash and one retry window,06:00-08:30 and 16:00-19:00 IST on NSE trading days,Run change-detection even on holidays where the publisher can revise reference data; do not claim a new trading day,Empty is not a successful refresh unless the publisher explicitly defines a valid-empty response,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
86,nse_gsm,NSE Graded Surveillance Measure (GSM),https://www.nseindia.com/api/reportGSM,2,https://www.nseindia.com/api/reportGSM | https://www.nseindia.com/static/regulations/graded-surveillance-measure,DAILY_OR_CHANGE_DETECT,Daily or irregular reference update; exact publisher cadence must be verified per row,Daily; use conditional hash and one retry window,06:00-08:30 and 16:00-19:00 IST on NSE trading days,Run change-detection even on holidays where the publisher can revise reference data; do not claim a new trading day,Empty is not a successful refresh unless the publisher explicitly defines a valid-empty response,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
87,nse_large_deals_snapshot,NSE Large Deals Live Snapshot,https://www.nseindia.com/api/snapshot-capital-market-largedeal,1,https://www.nseindia.com/api/snapshot-capital-market-largedeal,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",INDEPENDENT_SOURCE_JOB,120 seconds while eligible OPEN/PRE_OPEN session,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
106,nse_trade_to_trade,NSE Trade-for-Trade Delivery-Only List,https://www.nseindia.com/all-reports,1,https://www.nseindia.com/all-reports,DAILY_EOD,One official dataset per exchange trading day after market close,15 minutes during release window; stop after same-day file is captured,15:45-22:00 IST on exchange trading days,On holidays/weekends expect the last trading-day file and do not relabel it as today's data,Missing/empty before the release cutoff is WAIT; after cutoff it is MISSING/PARTIAL and must not overwrite last good data,NSE_PR_ZIP_REUSE,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
107,kite_derivatives_contract_master,Kite Derivatives Contract & Lot-Size Reference,https://api.kite.trade/instruments,1,https://api.kite.trade/instruments,DAILY_OR_CHANGE_DETECT,Daily or irregular reference update; exact publisher cadence must be verified per row,Daily; use conditional hash and one retry window,08:15-09:00 IST daily; verify Kite's documented dump generation time,Run change-detection even on holidays where the publisher can revise reference data; do not claim a new trading day,Empty is not a successful refresh unless the publisher explicitly defines a valid-empty response,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
108,nse_board_meetings,NSE Results & Board-Meeting Calendar,https://www.nseindia.com/api/corporate-board-meetings?index=equities,1,https://www.nseindia.com/api/corporate-board-meetings?index=equities,EVENT_DRIVEN,Published when a company files; can arrive during or after market hours,10 minutes,08:00-23:30 IST daily,Continue on weekends/holidays at reduced cadence because corporate filings can still appear,No new filings is valid only when schema/date filters are valid; do not erase prior populated history,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
109,nse_most_active_futures,NSE Most-Active Futures Contracts,https://www.nseindia.com/api/snapshot-derivatives-equity?index=futures,1,https://www.nseindia.com/api/snapshot-derivatives-equity?index=futures,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",NSE_DERIVATIVES_SNAPSHOT_POOL,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
110,nse_most_active_options,NSE Most-Active Options Contracts,https://www.nseindia.com/api/snapshot-derivatives-equity?index=options,1,https://www.nseindia.com/api/snapshot-derivatives-equity?index=options,INTRADAY,Continuously changing during the applicable NSE market session,120 seconds,09:15-15:30 IST on NSE trading days,Stop polling on holidays and after close; show MARKET_CLOSED/STALE and require same trading date for LIVE,"Empty during OPEN is not usable; retry, then mark only this source PARTIAL/QUARANTINED",NSE_DERIVATIVES_SNAPSHOT_POOL,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
111,nse_ipo_issue_calendar,NSE IPO Issue Calendar,https://www.nseindia.com/api/ipo-current-issue,1,https://www.nseindia.com/api/ipo-current-issue,EVENT_DRIVEN_SLOW,Published on filing/list update events rather than every market tick,30 minutes,08:00-23:30 IST daily,Use 2-hour polling on weekends/holidays unless an active offer/issue requires the normal interval,Valid-empty is allowed only with correct response schema/date; never convert empty into fresh evidence,INDEPENDENT_SOURCE_JOB,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
112,nse_pr_market_snapshot,NSE PR Market Snapshot,https://www.nseindia.com/all-reports,1,https://www.nseindia.com/all-reports,DAILY_EOD,One official dataset per exchange trading day after market close,15 minutes during release window; stop after same-day file is captured,15:45-22:00 IST on exchange trading days,On holidays/weekends expect the last trading-day file and do not relabel it as today's data,Missing/empty before the release cutoff is WAIT; after cutoff it is MISSING/PARTIAL and must not overwrite last good data,NSE_PR_ZIP_REUSE,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,TO BE FILLED BY REVIEWER,,
70,nse_fno_ban,NSE F&O Ban List (secban),https://nsearchives.nseindia.com/content/fo/fo_secban.csv,1,https://nsearchives.nseindia.com/content/fo/fo_secban.csv | https://archives.nseindia.com/archives/fo/sec_ban/fo_secban_{ddmmyyyy}.csv,DAILY_EOD,Published each trading day for F&O ban membership,15 minutes during release window; stop after same-day file is captured,15:45-22:00 IST on exchange trading days,On holidays/weekends keep last trading-day ban list,Empty ban list is VALID_EMPTY (no stocks banned),NSE_FO_BAN,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Phase-1 from 30-link pack; parser parse_nse_fno_ban already exists
71,nse_participant_oi,NSE Participant-wise F&O Open Interest,https://archives.nseindia.com/content/nsccl/fao_participant_oi_{ddmmyyyy}.csv,1,https://archives.nseindia.com/content/nsccl/fao_participant_oi_{ddmmyyyy}.csv | https://nsearchives.nseindia.com/content/nsccl/fao_participant_oi_{ddmmyyyy}.csv,DAILY_EOD,One participant OI file per trading day after close,15 minutes during release window; stop after same-day file is captured,15:45-22:00 IST on exchange trading days,On holidays keep last trading-day file,Missing before cutoff is WAIT; after cutoff MISSING without last-good overwrite,NSE_PARTICIPANT_OI,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Phase-1; direct archive may 404 on some days — last-good retained
72,amfi_nav,AMFI NAV All (daily scheme NAVs),https://www.amfiindia.com/spages/NAVAll.txt,1,https://www.amfiindia.com/spages/NAVAll.txt,DAILY_EOD,Daily NAV file after market day processing,30 minutes after 21:00 IST until captured,21:00-23:59 IST daily,Weekends may still publish; keep last good,Empty body is INVALID; do not overwrite last good,AMFI_NAV,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Phase-1; parser parse_amfi_nav exists
73,nse_mto_delivery,NSE MTO Security-wise Delivery Position,https://archives.nseindia.com/archives/equities/mto/MTO_{ddmmyyyy}.DAT,1,https://archives.nseindia.com/archives/equities/mto/MTO_{ddmmyyyy}.DAT,DAILY_EOD,After cash market close each trading day,15 minutes during release window; stop after same-day file is captured,16:00-22:00 IST on exchange trading days,Weekends/holidays use last trading day,Missing before cutoff WAIT; after cutoff do not wipe last good,NSE_MTO_DELIVERY,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Phase-1 from 30-link pack; stock delivery% for screener
74,nse_short_selling,NSE Daily Short Selling Disclosure,https://archives.nseindia.com/archives/equities/shortSelling/shortselling_{ddmmyyyy}.csv,1,https://archives.nseindia.com/archives/equities/shortSelling/shortselling_{ddmmyyyy}.csv,DAILY_EOD,Daily short-selling disclosure after session,15 minutes during release window; stop after same-day file is captured,16:00-22:00 IST on exchange trading days,Weekends/holidays use last trading day,Empty is VALID_EMPTY only when schema ok; keep last good,NSE_SHORT_SELLING,NOT IN CURRENT 10-SOURCE LIVE-PANEL SCHEDULER,PROVISIONAL_UNVERIFIED_NEEDS_OFFICIAL_WEB_CHECK,,,Phase-1; lowercase filename required
