requirement_id,source_file,source_section,requirement,status,merge_milestone,hybrid_reference,backend_module,api_route,frontend_location,test_ids,decision,reason,evidence_level,product_scope,priority,last_verified
HYBRID-2-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,2,Inventory 370/354/105/231/18 baseline,PARTIAL,R0,Section 2,,,,,ADD,Compiler recomputes workbook row counts/hashes,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-4-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,4,Source contract decision_jobs fields,PARTIAL,DAT-021/R0,Section 4,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-5-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,5.8,Risk sizing ATR/spread/gap pipeline,POSTPONED,POST-HYB-01,Section 5.8,,,,,POSTPONE,Research rationale retained; executable sizing remains outside current scope,DOCUMENTED,POSTPONE_SIZING,P3,2026-07-20
HYBRID-5-2,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,5.9,OpenAlgo promotion sequence,PARTIAL,OPN/Q5-R7,Section 5.9,,,,,IMPROVE,RO only,DOCUMENTED,RESEARCH,P1,2026-07-20
HYBRID-6-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,6,Strategy mandatory combinations,IMPLEMENTED,PRF-001..007,Section 6,backend/trendforge_api/selection/profile_source_contracts.py,,,backend/tests/test_profile_source_contracts.py,IMPROVE,"Named mandatory, confirmation and veto source groups are implemented for all seven profiles",CODE_PRESENT,RESEARCH,P0,2026-09-02
HYBRID-7-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,7,EvidenceClaim complete schema,PARTIAL,DAT-019,Section 7,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-7-2,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,7,Guidance contract entry/stop/qty,PARTIAL,UI,Section 7,,,,,POSTPONE,qty fields out of scope,DOCUMENTED,POSTPONE_SIZING,P2,2026-07-20
HYBRID-8-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,8,Storage model rationale,PARTIAL,STO 14,Section 8,,,,,LINK_TO_B,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P2,2026-07-20
HYBRID-9-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,9,UI command bar radar risk rail,PARTIAL,UI-001..009,Section 9,,,,,IMPROVE,no qty rail,DOCUMENTED,RESEARCH,P1,2026-07-20
HYBRID-9-2,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,9,Inspector tabs content,PARTIAL,13.2/Q5-R6,Section 9,,,,,KEEP,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P1,2026-07-20
HYBRID-10-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,10,Productivity 10 features,PLANNED,CROSS-017,Section 10,,,,,ADD,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P2,2026-07-20
HYBRID-11-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,11,API risk/guidance endpoint proposals,POSTPONED,POST-HYB-01/02,Section 11,,,,,POSTPONE,No executable sizing endpoint; retain evidence and no-action guidance concepts only,DOCUMENTED,POSTPONE_SIZING,P2,2026-07-20
HYBRID-15-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,15,Fable audit gaps,PARTIAL,File A 20-23,Section 15,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P1,2026-07-20
HYBRID-16-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,16.1,Workbook paths and SHA-256,PLANNED,R0,Section 16.1,,,,,ADD,Recompute live hashes,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-16-2,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,16.3,Source-state ladder 10 states,PARTIAL,CROSS-006,Section 16.3,,,,,ADD,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-16-3,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,16.4,Inventory defects 11,IMPLEMENTED,CROSS-001,Section 16.4,source_inventory_compiler.py; source_overlap_resolutions.py,GET /api/source-inventory/compiler-report,,test_source_inventory_compiler.py,LINK_TO_B,All 11 defect classes remain explicit and H1A0 6/6 passes with complete lineage plus exact reviewed semantic-overlap dispositions,OBSERVED_RUNTIME,RESEARCH,P0,2026-07-23
HYBRID-16-4,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,16.5,URL roles 10 counts,PLANNED,R0,Section 16.5,,,,,ADD,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P1,2026-07-20
HYBRID-16-5,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,16.6,Living source-key map and endpoint dispositions,IMPLEMENTED,CROSS-002,Section 16.6,,,,,LINK_TO_B,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-16-6,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,16.7,Strategy source combos exact keys,IMPLEMENTED,CROSS-004,Section 16.7,backend/trendforge_api/selection/profile_source_contracts.py,,,backend/tests/test_profile_source_contracts.py,LINK_TO_B,Exact keys are exposed by the zero-authority profile-source contract registry,CODE_PRESENT,RESEARCH,P0,2026-09-02
HYBRID-16-7,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,16.8,Feature formula derivations,PARTIAL,FTR-001..039,Section 16.8,,,,,LINK_TO_B,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-16-8,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,16.9,q_i claim-quality formula,PARTIAL,R3/FUS-009,Section 16.9,,,,,MERGE,Use q_i only as claim quality input; File A FUS-009 controls family fusion and anti-double-counting,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-16-9,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,16.10,Legacy scorer lines 887-931,PARTIAL,FUS-008/CROSS-014,Section 16.10,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-16-10,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,16.11,ML PIT Brier ECE plan,PARTIAL,R16/VAL,Section 16.11,,,,,IMPROVE,No P(win) UI early,DOCUMENTED,RESEARCH,P1,2026-07-20
HYBRID-17-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,17.2 P0.1,Tradability T2T ESM ban MWPL,PARTIAL,FTR-035,Section 17.2 P0.1,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-17-2,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,17.2 P0.2,Raw/adjusted layers,PARTIAL,STO-020,Section 17.2 P0.2,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-17-3,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,17.2 P0.3,Timestamps revision,PARTIAL,DAT-019,Section 17.2 P0.3,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-17-4,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,17.2 P0.4,Family hierarchy caps,PARTIAL,FUS/CROSS-021,Section 17.2 P0.4,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P1,2026-07-20
HYBRID-17-5,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,17.2 P0.5,Realizable unit risk,POSTPONED,POST-HYB-03,Section 17.2 P0.5,,,,,POSTPONE,Keep as future research; current product cannot calculate executable quantity,DOCUMENTED,POSTPONE_SIZING,P3,2026-07-20
HYBRID-17-6,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,17.2 P0.6,Legacy quarantine flags,PARTIAL,FUS-008,Section 17.2 P0.6,,,,,IMPROVE,can_size false,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-18-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,18.4,Dataset-root identity model,PLANNED,TDG-GAP-024,Section 18.4,,,,,ADD,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-18-2,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,18.5,Four decision chains,PARTIAL,PRF,Section 18.5,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P1,2026-07-20
HYBRID-18-3,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,18.6,Code corrections 9 items,PARTIAL,impl notes,Section 18.6,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P1,2026-07-20
HYBRID-19-1,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,19.2,J01-J14 taxonomy,IMPLEMENTED,CROSS-003,Section 19.2,,,,,ADD,"J01-J14 are typed, exposed and covered by the inventory compiler contract",DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-19-2,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,19.3,NSE transport 9 behaviors,PARTIAL,DAT-020,Section 19.3,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-19-3,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,19.4,F&O ban MWPL split,IMPLEMENTED,CROSS-008,Section 19.4,,,,,KEEP,Canonical split verified; percentages remain explicitly unavailable,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-19-4,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,19.5,USD/INR role split,PARTIAL,CROSS-009,Section 19.5,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P1,2026-07-20
HYBRID-19-5,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,19.6,Legacy state mapping,PARTIAL,STA-005,Section 19.6,,,,,ADD,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-19-6,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,19.7,PIT outcome worker,PARTIAL,R16/STO,Section 19.7,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P1,2026-07-20
HYBRID-19-7,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,19.8,Event matching states,PARTIAL,CROSS-016,Section 19.8,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P1,2026-07-20
HYBRID-19-8,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,19.9,True P0 priority,PARTIAL,R0-R18,Section 19.9,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P1,2026-07-20
HYBRID-19-9,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,19.11,Legacy quarantine controls,PARTIAL,FUS-008,Section 19.11,,,,,IMPROVE,Preserved Hybrid requirement; implementation or evidence remains incomplete,DOCUMENTED,RESEARCH,P0,2026-07-20
HYBRID-19-10,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,19.12,Risk policy percentages,POSTPONED,POST-HYB-01,Section 19.12,,,,,POSTPONE,Research-only until a separately approved sizing scope exists,DOCUMENTED,POSTPONE_SIZING,P3,2026-07-20
HYBRID-19-11,new_merge_PLAN_2026-07-18.md + TRENDFORGE_HYBRID_DATA_TO_DECISION_PLAN_2026-07-17.md,19.13,H-series milestones,PLANNED,R0-R18 map,Section 19.13,,,,,KEEP,Advisory only,DOCUMENTED,RESEARCH,P1,2026-07-20
FMR-001,FINAL_MERGE_PLAN.md + new_merge_PLAN_2026-07-18.md,FMR-001; File A 25.21,Use every permitted source and every resolved stock for research,PLANNED,R0/R2/R16,Open Final Merge FMR section plus Hybrid sections mapped by File A,,,,,ADD,"Dynamic source bindings, complete research universe, PIT coverage and explicit unknowns",DOCUMENTED,RESEARCH,P0,2026-07-29
FMR-002,FINAL_MERGE_PLAN.md + new_merge_PLAN_2026-07-18.md,FMR-002; File A 25.21,Complete cheap-to-expensive all-stock research flow,PLANNED,R0/R2/R3/R8/R9/R15/R16,Open Final Merge FMR section plus Hybrid sections mapped by File A,,,,,MERGE,"All-stock cheap pass, transparent shortlist, closed structure, one resolver, radar and journal",DOCUMENTED,RESEARCH,P0,2026-07-29
FMR-003,FINAL_MERGE_PLAN.md + new_merge_PLAN_2026-07-18.md,FMR-003; File A 25.21,Option-chain truth and feature-specific eligibility,PLANNED,R12,Open Final Merge FMR section plus Hybrid sections mapped by File A,,,,,ADD,"Identity, timing, contract master, chain quality and snapshot proof must precede interpretation",DOCUMENTED,RESEARCH,P1,2026-07-29
FMR-004,FINAL_MERGE_PLAN.md + new_merge_PLAN_2026-07-18.md,FMR-004; File A 25.21,Strike OI PCR walls max-pain skew term and migration research,PLANNED,R12/R16,Open Final Merge FMR section plus Hybrid sections mapped by File A,,,,,MERGE,One strike/expiry laboratory with PIT sensitivity and explicit coverage,DOCUMENTED,RESEARCH,P1,2026-07-29
FMR-005,FINAL_MERGE_PLAN.md + new_merge_PLAN_2026-07-18.md,FMR-005; File A 25.21,Gamma concentration and signed GEX scenario research,PLANNED,R12/R16,Open Final Merge FMR section plus Hybrid sections mapped by File A,,,,,ADD,Canonical Gamma stays unsigned; signed GEX and flip remain labeled scenarios pending PIT proof,DOCUMENTED,RESEARCH,P1,2026-07-29
FMR-006,FINAL_MERGE_PLAN.md + new_merge_PLAN_2026-07-18.md,FMR-006; File A 25.21,IV Greeks expiry and research-contract inspection,PLANNED,R12/R16,Open Final Merge FMR section plus Hybrid sections mapped by File A,,,,,MERGE,"Model, carry, settlement, quote quality and near-expiry stability remain explicit",DOCUMENTED,RESEARCH,P1,2026-07-29
FMR-007,FINAL_MERGE_PLAN.md + new_merge_PLAN_2026-07-18.md,FMR-007; File A 25.21,Combine one derivatives package with governed stock selection,PLANNED,R3/R12/R15,Open Final Merge FMR section plus Hybrid sections mapped by File A,,,,,MERGE,Options may support weaken conflict or remain unknown but cannot independently confirm,DOCUMENTED,RESEARCH,P1,2026-07-29
FMR-008,FINAL_MERGE_PLAN.md + new_merge_PLAN_2026-07-18.md,FMR-008; File A 25.21,PKScreener open-source calculators and OpenAlgo read-only comparison,PLANNED,R4/R7/R12/R17,Open Final Merge FMR section plus Hybrid sections mapped by File A,,,,,MERGE,Pinned audited shadow tools only; dependencies and licenses require proof and OpenAlgo remains read-only,DOCUMENTED,RESEARCH,P1,2026-07-29
FMR-009,FINAL_MERGE_PLAN.md + new_merge_PLAN_2026-07-18.md,FMR-009; File A 25.21,All Stocks radar and Strike Expiry inspector,PARTIAL,R15,Open Final Merge FMR section plus Hybrid sections mapped by File A,,,docs/TRENDFORGE_FINAL_PRODUCT.html (static fixture); frontend runtime pending,,ADD,"Show every resolved stock, shortlist reasons, calculations, missing proof, conflicts and lineage; static presentation fixture exists but canonical runtime/PIT/model ownership remains open",DOCUMENTED,RESEARCH,P1,2026-08-14
FMR-010,FINAL_MERGE_PLAN.md + new_merge_PLAN_2026-07-18.md,FMR-010; File A 25.21,Final Merge acceptance tests lineage PIT and build ceilings,PLANNED,R0-R18,Open Final Merge FMR section plus Hybrid sections mapped by File A,,,,,ADD,Every mapped vertical must adopt applicable adversarial tests before completion,DOCUMENTED,RESEARCH,P0,2026-07-29
FMR-011,FINAL_MERGE_PLAN.md + new_merge_PLAN_2026-07-18.md,FMR-011; File A 25.21,Local Paper Lab objective outcomes and governed ML relearning,PARTIAL,R15/R16/R18,Open Final Merge FMR section plus Hybrid sections mapped by File A,,,docs/TRENDFORGE_FINAL_PRODUCT.html (static fixture); frontend runtime pending,,ADD,Deterministic no-broker replay feeds PIT labels and batch challenger learning with drift review human promotion and rollback; static presentation fixture exists but canonical runtime/PIT/model ownership remains open,DOCUMENTED,RESEARCH,P0,2026-08-14
CONFLICT-001,new_merge_PLAN_2026-07-18.md,25.8,Public NSE routes vs live intraday authority,CONFLICT,N/A,,,,,,CONFLICT_RESOLVED,Public routes remain research-only until licensed/OpenAlgo integrity gates pass,DOCUMENTED,RESEARCH,P0,2026-07-20
CONFLICT-002,new_merge_PLAN_2026-07-18.md,25.8,Hybrid WAIT/READY variants vs four public states,CONFLICT,N/A,,,,,,CONFLICT_RESOLVED,Expose WATCH/WAIT/CONFIRMED/REJECT only; variants are reason codes,DOCUMENTED,RESEARCH,P0,2026-07-20
CONFLICT-003,new_merge_PLAN_2026-07-18.md,25.8,Hybrid H1-H10 order vs File A R0-R18/Q5,CONFLICT,N/A,,,,,,CONFLICT_RESOLVED,File A sequence controls; H-series labels are detail aliases only,DOCUMENTED,RESEARCH,P0,2026-07-20
CONFLICT-004,new_merge_PLAN_2026-07-18.md,25.8,Hybrid quantity/risk rail vs current no-quantity scope,CONFLICT,N/A,,,,,,CONFLICT_RESOLVED,Postpone under POST-HYB-01..03; no executable quantity,DOCUMENTED,POSTPONE_SIZING,P0,2026-07-20
CONFLICT-005,new_merge_PLAN_2026-07-18.md,25.8,Online or automatic ML promotion vs governed relearning,CONFLICT,N/A,,,,,,CONFLICT_RESOLVED,Offline batch relearning is allowed under FMR-011; no silent promotion; R16/R18 control,DOCUMENTED,RESEARCH,P0,2026-07-20
CONFLICT-006,new_merge_PLAN_2026-07-18.md,25.8,External proposal to keep all domain detail out of File A,CONFLICT,N/A,,,,,,CONFLICT_RESOLVED,File A keeps short FTR contracts; File B remains the long-form recipe library,DOCUMENTED,RESEARCH,P0,2026-07-20
CONFLICT-007,TRENDFORGE_GOVERNANCE_SYSTEM_ai.md,legacy duplicate conflict registry,Legacy R0-R18 vs H1-H10 conflict alias,REJECTED,CONFLICT-003,,,,,,MERGE,Not a File A conflict; retained only as a non-authoritative alias of CONFLICT-003,DOCUMENTED,REJECTED,P3,2026-07-20
DAT-010,new_merge_PLAN_2026-07-18.md,6; 17.1,Mandatory 22-field feature contract and build lint,IMPLEMENTED,R0,,backend/trendforge_api/feature_registry.py,GET /api/v1/selection/feature-registry,,test_feature_registry.py,KEEP,Contract-level R0 ceiling; registry presence does not prove feature activation or live authority,OBSERVED_RUNTIME,RESEARCH,P0,2026-07-20
DAT-011,new_merge_PLAN_2026-07-18.md,17.1,One pinned indicator engine and dependency manifest per run,IMPLEMENTED,R0,,backend/trendforge_api/indicator_engine.py; backend/trendforge_api/selection/contracts.py,GET /api/v1/selection/feature-registry/lint,,test_feature_registry.py,KEEP,Contract-level R0 ceiling; registry presence does not prove feature activation or live authority,OBSERVED_RUNTIME,RESEARCH,P0,2026-07-20
T-028,new_merge_PLAN_2026-07-18.md,16.3; 25.12,Insufficient indicator warm-up returns INPUT_INCOMPLETE,IMPLEMENTED,R0,,,,,test_feature_registry.py; backend/tests/test_feature_registry.py,KEEP,Observed in deterministic offline fixtures,TESTED_OFFLINE,RESEARCH,P0,2026-07-20
T-029,new_merge_PLAN_2026-07-18.md,16.3; 25.12,Mixed indicator engines fail the run manifest,IMPLEMENTED,R0,,,,,test_feature_registry.py; backend/tests/test_feature_registry.py,KEEP,Observed in deterministic offline fixtures,TESTED_OFFLINE,RESEARCH,P0,2026-07-20
T-030,new_merge_PLAN_2026-07-18.md,16.3; 25.12,Indicator parity divergence is recorded explicitly,IMPLEMENTED,R0,,,,,test_feature_registry.py; backend/tests/test_feature_registry.py,KEEP,Observed in deterministic offline fixtures,TESTED_OFFLINE,RESEARCH,P0,2026-07-20
T-194,new_merge_PLAN_2026-07-18.md,16.3; 25.12,Missing or mixed engine identity fails closed,IMPLEMENTED,R0,,,,,test_feature_registry.py; backend/tests/test_feature_registry.py,KEEP,Observed in deterministic offline fixtures,TESTED_OFFLINE,RESEARCH,P0,2026-07-20
T-195,new_merge_PLAN_2026-07-18.md,16.3; 25.12,Insufficient warm-up history cannot emit indicator evidence,IMPLEMENTED,R0,,,,,test_feature_registry.py; backend/tests/test_feature_registry.py,KEEP,Observed in deterministic offline fixtures,TESTED_OFFLINE,RESEARCH,P0,2026-07-20
GOV-002,new_merge_PLAN_2026-07-18.md,ledger,No execution OMS account routes,IMPLEMENTED,governance,,,,,test_q5_openalgo_boundary; backend/tests/test_q5_openalgo_boundary.py,KEEP,File A controlling,CODE_PRESENT,RESEARCH,P0,2026-07-20
GOV-003,new_merge_PLAN_2026-07-18.md,ledger,Evidence strength not probability,IMPLEMENTED,governance,,,,frontend/tests/q5-contract.test.js,q5-contract frontend,KEEP,File A controlling,CODE_PRESENT,RESEARCH,P0,2026-07-20
STA-001,new_merge_PLAN_2026-07-18.md,ledger,Four product states only,IMPLEMENTED,governance,,,,,test_q5_selection_contracts; backend/tests/test_q5_selection_contracts.py,KEEP,File A controlling,CODE_PRESENT,RESEARCH,P0,2026-07-20
FUS-008,new_merge_PLAN_2026-07-18.md,ledger,detail_score discovery quarantine,PARTIAL,governance,,,,,test_q5 + call-graph open; backend/tests/test_q5_selection_contracts.py,KEEP,File A controlling,CODE_PRESENT,RESEARCH,P0,2026-07-20
FUS-011,new_merge_PLAN_2026-07-18.md,ledger,Zero corroboration bonus,IMPLEMENTED,governance,,,,,test_q5_family_resolver; backend/tests/test_q5_family_resolver.py,KEEP,File A controlling,CODE_PRESENT,RESEARCH,P0,2026-07-20
PK-019,new_merge_PLAN_2026-07-18.md,ledger,Finite offline PK no production sidecar,IMPLEMENTED,governance,,,,,test_q5_pk_compatibility; backend/tests/test_q5_pk_compatibility.py,KEEP,File A controlling,CODE_PRESENT,RESEARCH,P0,2026-07-20
REJ-011,new_merge_PLAN_2026-07-18.md,ledger,Broker execution rejected,REJECTED,governance,,,,,,REJECT,File A controlling,DOCUMENTED,REJECTED,P0,2026-07-20
POST-HYB-01,new_merge_PLAN_2026-07-18.md,ledger,INR 1L quantity tables postponed,POSTPONED,governance,,,,,,POSTPONE,File A controlling,DOCUMENTED,RESEARCH,P3,2026-07-20
GOV-TRACE-001,new_merge_PLAN_2026-07-18.md,ledger,This CSV is traceability only not a third plan,IMPLEMENTED,governance,,docs/fable/remaining_build/build_coverage_csv.py,,,build_coverage_csv.py validation,KEEP,File A controlling,CODE_PRESENT,RESEARCH,P0,2026-07-20
